name,canonicalTranscript_graph_id,chromosome,entrezId,jaxId,description_graph_id,synonyms_graph_id,graph_id
HCFC1R1,es_20200604115458941461,16,54985,54985,es_20200422164415748641,esl_20200604115458941461,jax_gene_54985
BAK1,es_20200604115458941485,6,578,578,es_20200422164413934424,esl_20200604115458941485,jax_gene_578
SMAD4,es_20200604115458941512,18,4089,4089,es_20200422164425383146,esl_20200604115458941512,jax_gene_4089
ERLIN2,es_20200604115458941540,8,11160,11160,es_20200422164421052468,esl_20200604115458941540,jax_gene_11160
EZR,es_20200604115458941568,6,7430,7430,es_20200422164429648578,esl_20200604115458941568,jax_gene_7430
TACSTD2,es_20200604115458941595,1,4070,4070,es_20200422164435885020,esl_20200604115458941595,jax_gene_4070
KIF11,es_20200604115458941625,10,3832,3832,es_20200422164449127810,esl_20200604115458941625,jax_gene_3832
BAX,es_20200604115458941653,19,581,581,es_20200422164427516602,esl_20200604115458941653,jax_gene_581
MSH2,es_20200604115458941676,2,4436,4436,es_20200422164416259939,esl_20200604115458941676,jax_gene_4436
GCNT3,es_20200604115458941705,15,9245,9245,es_20200422175656883720,esl_20200604115458941705,jax_gene_9245
AURKB,es_20200604115458941733,17,9212,9212,es_20200422164433235678,esl_20200604115458941733,jax_gene_9212
SUZ12,es_20200604115458941768,17,23512,23512,es_20200422164442149091,esl_20200604115458941768,jax_gene_23512
GNRHR,es_20200604115458941809,4,2798,2798,es_20200422164430472345,esl_20200604115458941809,jax_gene_2798
BAZ2A,es_20200604115458941839,12,11176,11176,es_20200422164432765405,esl_20200604115458941839,jax_gene_11176
DNMT3A,es_20200604115458941864,2,1788,1788,es_20200422164434520703,esl_20200604115458941864,jax_gene_1788
SND1,es_20200604115458941891,7,27044,27044,es_20200422175652406465,esl_20200604115458941891,jax_gene_27044
SLC12A2,es_20200604115458941917,5,6558,6558,es_20200422164439793114,esl_20200604115458941917,jax_gene_6558
MBNL1,es_20200604115458941944,3,4154,4154,es_20200422164602081055,esl_20200604115458941944,jax_gene_4154
TFRC,es_20200604115458941969,3,7037,7037,es_20200422164444656858,esl_20200604115458941969,jax_gene_7037
MSMB,es_20200604115458942000,10,4477,4477,es_20200422175655172082,esl_20200604115458942000,jax_gene_4477
PRMT5,es_20200604115458942033,14,10419,10419,es_20200422164447821674,esl_20200604115458942033,jax_gene_10419
EPHA10,es_20200604115458942062,1,284656,284656,es_20200422164446119550,esl_20200604115458942062,jax_gene_284656
KLF5,es_20200604115458942085,13,688,688,es_20200422175703167867,esl_20200604115458942085,jax_gene_688
CNTRL,es_20200604115458942111,9,11064,11064,es_20200422164457304429,esl_20200604115458942111,jax_gene_11064
WDCP,es_20200604115458942138,2,80304,80304,es_20200422164507735639,esl_20200604115458942138,jax_gene_80304
PIK3C3,es_20200604115458942164,18,5289,5289,es_20200422164456258494,esl_20200604115458942164,jax_gene_5289
PROM1,es_20200604115458942189,4,8842,8842,es_20200422175658186547,esl_20200604115458942189,jax_gene_8842
PRAME,es_20200604115458942220,22,23532,23532,es_20200422164516055394,esl_20200604115458942220,jax_gene_23532
HES1,es_20200604115458942247,3,3280,3280,es_20200422175701206800,esl_20200604115458942247,jax_gene_3280
FAH,es_20200604115458942273,15,2184,2184,es_20200422164521035092,esl_20200604115458942273,jax_gene_2184
KRAS,es_20200604115458942295,12,3845,3845,es_20200422164527445334,esl_20200604115458942295,jax_gene_3845
FBXO4,es_20200604115458942338,5,26272,26272,es_20200422164545540033,esl_20200604115458942338,jax_gene_26272
LRFN4,es_20200604115458942361,11,78999,78999,es_20200422164508535576,esl_20200604115458942361,jax_gene_78999
NRG4,es_20200604115458942387,15,145957,145957,es_20200422175704527201,esl_20200604115458942387,jax_gene_145957
NKAIN2,es_20200604115458942410,6,154215,154215,es_20200422164503382916,esl_20200604115458942410,jax_gene_154215
SMARCA4,es_20200604115458942437,19,6597,6597,es_20200422164526048078,esl_20200604115458942437,jax_gene_6597
TGFB1,es_20200604115458942475,19,7040,7040,es_20200422164534319721,esl_20200604115458942475,jax_gene_7040
ODC1,es_20200604115458942505,2,4953,4953,es_20200422164521665073,esl_20200604115458942505,jax_gene_4953
NBN,es_20200604115458942528,8,4683,4683,es_20200422164529718950,esl_20200604115458942528,jax_gene_4683
ASPSCR1,es_20200604115458942559,17,79058,79058,es_20200422175711328450,esl_20200604115458942559,jax_gene_79058
SRC,es_20200604115458942589,20,6714,6714,es_20200422164530711910,esl_20200604115458942589,jax_gene_6714
PTTG1,es_20200604115458942616,5,9232,9232,es_20200422164523929732,esl_20200604115458942616,jax_gene_9232
PTK6,es_20200604115458942642,20,5753,5753,es_20200422164536739568,esl_20200604115458942642,jax_gene_5753
RXRA,es_20200604115458942665,9,6256,6256,es_20200422164556083877,esl_20200604115458942665,jax_gene_6256
BAIAP2L1,es_20200604115458942689,7,55971,55971,es_20200422164528418644,esl_20200604115458942689,jax_gene_55971
HOXB13,es_20200604115458942713,17,10481,10481,es_20200422164532561650,esl_20200604115458942713,jax_gene_10481
FES,es_20200604115458942737,15,2242,2242,es_20200422175713643587,esl_20200604115458942737,jax_gene_2242
CD40,es_20200604115458942760,20,958,958,es_20200422164535780917,esl_20200604115458942760,jax_gene_958
KDM6B,es_20200604115458942786,17,23135,23135,es_20200422164538912736,esl_20200604115458942786,jax_gene_23135
FAT4,es_20200604115458942811,4,79633,79633,es_20200422164542094774,esl_20200604115458942811,jax_gene_79633
NONO,es_20200604115458942862,X,4841,4841,es_20200422164537630035,esl_20200604115458942862,jax_gene_4841
NFKB2,es_20200604115458942894,10,4791,4791,es_20200422164552293636,esl_20200604115458942894,jax_gene_4791
B4GALNT1,es_20200604115458942926,12,2583,2583,es_20200422175715044323,esl_20200604115458942926,jax_gene_2583
CTNNBL1,es_20200604115458942954,20,56259,56259,es_20200422164547942010,esl_20200604115458942954,jax_gene_56259
CCNL1,es_20200604115458942983,3,57018,57018,es_20200422175716623758,esl_20200604115458942983,jax_gene_57018
KIR3DL2,es_20200604115458943011,19,3812,3812,es_20200422164549894560,esl_20200604115458943011,jax_gene_3812
MAPK11,es_20200604115458943068,22,5600,5600,es_20200422164605655538,esl_20200604115458943068,jax_gene_5600
TRIM27,es_20200604115458943100,6,5987,5987,es_20200422175718567036,esl_20200604115458943100,jax_gene_5987
DROSHA,es_20200604115458943125,5,29102,29102,es_20200422165137156559,esl_20200604115458943125,jax_gene_29102
UBE2H,es_20200604115458943154,7,7328,7328,es_20200422175718025009,esl_20200604115458943154,jax_gene_7328
IGF2BP3,es_20200604115458943183,7,10643,10643,es_20200422164557517380,esl_20200604115458943183,jax_gene_10643
CPSF6,es_20200604115458943212,12,11052,11052,es_20200422164604309790,esl_20200604115458943212,jax_gene_11052
BRIP1,es_20200604115458943240,17,83990,83990,es_20200422164557981202,esl_20200604115458943240,jax_gene_83990
XPO1,es_20200604115458943265,2,7514,7514,es_20200422164613842785,esl_20200604115458943265,jax_gene_7514
HLA-C,es_20200604115458943315,6,3107,3107,es_20200422164616316475,esl_20200604115458943315,jax_gene_3107
CCDC170,es_20200604115458943345,6,80129,80129,es_20200422164615347851,esl_20200604115458943345,jax_gene_80129
FOLH1,es_20200604115458943370,11,2346,2346,es_20200422164614815390,esl_20200604115458943370,jax_gene_2346
CLTC,es_20200604115458943401,17,1213,1213,es_20200422164606639364,esl_20200604115458943401,jax_gene_1213
AXL,es_20200604115458943430,19,558,558,es_20200422164628554217,esl_20200604115458943430,jax_gene_558
HBEGF,es_20200604115458943456,5,1839,1839,es_20200422164607917999,esl_20200604115458943456,jax_gene_1839
TET1,es_20200604115458943482,10,80312,80312,es_20200422164623318792,esl_20200604115458943482,jax_gene_80312
SSTR5,es_20200604115458943509,16,6755,6755,es_20200422164621431200,esl_20200604115458943509,jax_gene_6755
MLH1,es_20200604115458943532,3,4292,4292,es_20200422164617752058,esl_20200604115458943532,jax_gene_4292
MAGEA4,es_20200604115458943560,X,4103,4103,es_20200422164625866967,esl_20200604115458943560,jax_gene_4103
GPR107,es_20200604115458943589,9,57720,57720,es_20200422164627588314,esl_20200604115458943589,jax_gene_57720
PRKDC,es_20200604115458943615,8,5591,5591,es_20200422164633944667,esl_20200604115458943615,jax_gene_5591
EGFL7,es_20200604115458943648,9,51162,51162,es_20200422164636313539,esl_20200604115458943648,jax_gene_51162
TMPRSS2,es_20200604115458943674,21,7113,7113,es_20200422175721047900,esl_20200604115458943674,jax_gene_7113
SIRPA,es_20200604115458943698,20,140885,140885,es_20200422164632640313,esl_20200604115458943698,jax_gene_140885
FGF9,es_20200604115458943729,13,2254,2254,es_20200422164635742854,esl_20200604115458943729,jax_gene_2254
RSPO2,es_20200604115458943771,8,340419,340419,es_20200422164640584873,esl_20200604115458943771,jax_gene_340419
PIK3CD,es_20200604115458943800,1,5293,5293,es_20200422164648723295,esl_20200604115458943800,jax_gene_5293
TRAF3,es_20200604115458943832,14,7187,7187,es_20200422164655939102,esl_20200604115458943832,jax_gene_7187
LAMP1,es_20200604115458943882,13,3916,3916,es_20200422164638212736,esl_20200604115458943882,jax_gene_3916
TBC1D3G,es_20200604115458943910,17,654341,654341,es_20200422164640040784,esl_20200604115458943910,jax_gene_654341
GOT1,es_20200604115458943938,10,2805,2805,es_20200422164649319357,esl_20200604115458943938,jax_gene_2805
RNF217-AS1,es_20200604115458943971,6,7955,7955,es_20200422164639504207,esl_20200604115458943971,jax_gene_7955
EGF,es_20200604115458943999,4,1950,1950,es_20200422164657016435,esl_20200604115458943999,jax_gene_1950
EPHA4,es_20200604115458944028,2,2043,2043,es_20200422164644925481,esl_20200604115458944028,jax_gene_2043
WWTR1,es_20200604115458944055,3,25937,25937,es_20200422164643180983,esl_20200604115458944055,jax_gene_25937
GHR,es_20200604115458944079,5,2690,2690,es_20200422164704987942,esl_20200604115458944079,jax_gene_2690
COL18A1,es_20200604115458944103,21,80781,80781,es_20200422164714819330,esl_20200604115458944103,jax_gene_80781
DLC1,es_20200604115458944129,8,10395,10395,es_20200422164650218777,esl_20200604115458944129,jax_gene_10395
JAK2,es_20200604115458944155,9,3717,3717,es_20200422164653418062,esl_20200604115458944155,jax_gene_3717
MAGI2,es_20200604115458944180,7,9863,9863,es_20200422164807659307,esl_20200604115458944180,jax_gene_9863
ADGRA2,es_20200604115458944210,8,25960,25960,es_20200422164711316587,esl_20200604115458944210,jax_gene_25960
CEBPE,es_20200604115458944235,14,1053,1053,es_20200422175723923816,esl_20200604115458944235,jax_gene_1053
FRK,es_20200604115458944260,6,2444,2444,es_20200422164707367560,esl_20200604115458944260,jax_gene_2444
PDGFB,es_20200604115458944286,22,5155,5155,es_20200422164704014445,esl_20200604115458944286,jax_gene_5155
RASA3,es_20200604115458944315,13,22821,22821,es_20200422175725913733,esl_20200604115458944315,jax_gene_22821
MEF2B,es_20200604115458944354,19,100271849,100271849,es_20200422164727509834,esl_20200604115458944354,jax_gene_100271849
PTPRR,es_20200604115458944380,12,5801,5801,es_20200422164732392255,esl_20200604115458944380,jax_gene_5801
PMS1,es_20200604115458944408,2,5378,5378,es_20200422175728836394,esl_20200604115458944408,jax_gene_5378
BFSP2,es_20200604115458944434,3,8419,8419,es_20200422164706387469,esl_20200604115458944434,jax_gene_8419
LRRFIP1,es_20200604115458944462,2,9208,9208,es_20200422175727369614,esl_20200604115458944462,jax_gene_9208
GNMT,es_20200604115458944492,6,27232,27232,es_20200422164715875994,esl_20200604115458944492,jax_gene_27232
SEM1,es_20200604115458944516,7,7979,7979,es_20200422164722451595,esl_20200604115458944516,jax_gene_7979
CDH6,es_20200604115458944545,5,1004,1004,es_20200422164717274014,esl_20200604115458944545,jax_gene_1004
SDHC,es_20200604115458944569,1,6391,6391,es_20200422164724008050,esl_20200604115458944569,jax_gene_6391
GATM,es_20200604115458944597,15,2628,2628,es_20200422164726343073,esl_20200604115458944597,jax_gene_2628
CDC73,es_20200604115458944622,1,79577,79577,es_20200422164730347513,esl_20200604115458944622,jax_gene_79577
APOBEC4,es_20200604115458944651,1,403314,403314,es_20200422164733238376,esl_20200604115458944651,jax_gene_403314
PTEN,es_20200604115458944675,10,5728,5728,es_20200422164734290566,esl_20200604115458944675,jax_gene_5728
KDM3A,es_20200604115458944708,2,55818,55818,es_20200422175733158385,esl_20200604115458944708,jax_gene_55818
CD79B,es_20200604115458944736,17,974,974,es_20200422164739693825,esl_20200604115458944736,jax_gene_974
LSM14A,es_20200604115458944761,19,26065,26065,es_20200422164740665181,esl_20200604115458944761,jax_gene_26065
ARMC10,es_20200604115458944789,7,83787,83787,es_20200422175730881118,esl_20200604115458944789,jax_gene_83787
NUP98,es_20200604115458944815,11,4928,4928,es_20200422164751178838,esl_20200604115458944815,jax_gene_4928
IGFBP7,es_20200604115458944874,4,3490,3490,es_20200422164748085549,esl_20200604115458944874,jax_gene_3490
ZRSR2,es_20200604115458944908,X,8233,8233,es_20200422164744759117,esl_20200604115458944908,jax_gene_8233
EED,es_20200604115458944937,11,8726,8726,es_20200422164749725751,esl_20200604115458944937,jax_gene_8726
SYK,es_20200604115458944962,9,6850,6850,es_20200422164758970059,esl_20200604115458944962,jax_gene_6850
RIT1,es_20200604115458944986,1,6016,6016,es_20200422164756494167,esl_20200604115458944986,jax_gene_6016
GEN1,es_20200604115458945013,2,348654,348654,es_20200422164746515573,esl_20200604115458945013,jax_gene_348654
ZKSCAN5,es_20200604115458945037,7,23660,23660,es_20200422164801440956,esl_20200604115458945037,jax_gene_23660
SEMA4D,es_20200604115458945064,9,10507,10507,es_20200422164747562889,esl_20200604115458945064,jax_gene_10507
MSH6,es_20200604115458945096,2,2956,2956,es_20200422164752911716,esl_20200604115458945096,jax_gene_2956
SGK1,es_20200604115458945143,6,6446,6446,es_20200422164754700063,esl_20200604115458945143,jax_gene_6446
VTCN1,es_20200604115458945171,1,79679,79679,es_20200422175751866479,esl_20200604115458945171,jax_gene_79679
LOC389473,es_20200604115458945201,7,389473,389473,es_20200422175735983254,esl_20200604115458945201,jax_gene_389473
RPTOR,es_20200604115458945224,17,57521,57521,es_20200422164800472158,esl_20200604115458945224,jax_gene_57521
CDX2,es_20200604115458945249,13,1045,1045,es_20200422164759992202,esl_20200604115458945249,jax_gene_1045
BAG4,es_20200604115458945275,8,9530,9530,es_20200422164809572790,esl_20200604115458945275,jax_gene_9530
SMYD3,es_20200604115458945303,1,64754,64754,es_20200422164805556847,esl_20200604115458945303,jax_gene_64754
DPP4,es_20200604115458945331,2,1803,1803,es_20200422164802404308,esl_20200604115458945331,jax_gene_1803
KMT2B,es_20200604115458945358,19,9757,9757,es_20200422164811467270,esl_20200604115458945358,jax_gene_9757
KLB,es_20200604115458945390,4,152831,152831,es_20200422164816612159,esl_20200604115458945390,jax_gene_152831
PLAG1,es_20200604115458945414,8,5324,5324,es_20200422164815121927,esl_20200604115458945414,jax_gene_5324
CCNA1,es_20200604115458945440,13,8900,8900,es_20200422164810504337,esl_20200604115458945440,jax_gene_8900
GNA13,es_20200604115458945464,17,10672,10672,es_20200422164812463331,esl_20200604115458945464,jax_gene_10672
TNFRSF10B,es_20200604115458945487,8,8795,8795,es_20200422164820280445,esl_20200604115458945487,jax_gene_8795
PRDM16,es_20200604115458945522,1,63976,63976,es_20200422164816046957,esl_20200604115458945522,jax_gene_63976
PPP2R1A,es_20200604115458945549,19,5518,5518,es_20200422164823538512,esl_20200604115458945549,jax_gene_5518
TFE3,es_20200604115458945577,X,7030,7030,es_20200422175736567560,esl_20200604115458945577,jax_gene_7030
GNAI1,es_20200604115458945603,7,2770,2770,es_20200422164841033582,esl_20200604115458945603,jax_gene_2770
HOOK3,es_20200604115458945649,8,84376,84376,es_20200422164849328576,esl_20200604115458945649,jax_gene_84376
YES1,es_20200604115458945674,18,7525,7525,es_20200422164824977021,esl_20200604115458945674,jax_gene_7525
TPR,es_20200604115458945700,1,7175,7175,es_20200422164822155211,esl_20200604115458945700,jax_gene_7175
KDM3B,es_20200604115458945744,5,51780,51780,es_20200422175739947664,esl_20200604115458945744,jax_gene_51780
CCNK,es_20200604115458945774,14,8812,8812,es_20200422175741895163,esl_20200604115458945774,jax_gene_8812
FAM76A,es_20200604115458945799,1,199870,199870,es_20200422164829444624,esl_20200604115458945799,jax_gene_199870
EMSY,es_20200604115458945822,11,56946,56946,es_20200422164832704131,esl_20200604115458945822,jax_gene_56946
CDK4,es_20200604115458945846,12,1019,1019,es_20200422164835361676,esl_20200604115458945846,jax_gene_1019
VDR,es_20200604115458945871,12,7421,7421,es_20200422164850713583,esl_20200604115458945871,jax_gene_7421
EPHB2,es_20200604115458945896,1,2048,2048,es_20200422164904291348,esl_20200604115458945896,jax_gene_2048
FAS,es_20200604115458945927,10,355,355,es_20200422164830920911,esl_20200604115458945927,jax_gene_355
SH2B3,es_20200604115458945957,12,10019,10019,es_20200422164838926669,esl_20200604115458945957,jax_gene_10019
TMEM126A,es_20200604115458945982,11,84233,84233,es_20200422164841905685,esl_20200604115458945982,jax_gene_84233
RPA3,es_20200604115458946005,7,6119,6119,es_20200422164843055717,esl_20200604115458946005,jax_gene_6119
MAP3K8,es_20200604115458946029,10,1326,1326,es_20200422164846008535,esl_20200604115458946029,jax_gene_1326
NISCH,es_20200604115458946060,3,11188,11188,es_20200422175743794334,esl_20200604115458946060,jax_gene_11188
CHTOP,es_20200604115458946087,1,26097,26097,es_20200422164853685795,esl_20200604115458946087,jax_gene_26097
GATA1,es_20200604115458946118,X,2623,2623,es_20200422164851620437,esl_20200604115458946118,jax_gene_2623
RNF11,es_20200604115458946150,1,26994,26994,es_20200422175745715055,esl_20200604115458946150,jax_gene_26994
POLQ,es_20200604115458946174,3,10721,10721,es_20200422164857863068,esl_20200604115458946174,jax_gene_10721
SUFU,es_20200604115458946198,10,51684,51684,es_20200422164902668762,esl_20200604115458946198,jax_gene_51684
CCDC91,es_20200604115458946225,12,55297,55297,es_20200422164902132830,esl_20200604115458946225,jax_gene_55297
PLCB4,es_20200604115458946249,20,5332,5332,es_20200422164908074099,esl_20200604115458946249,jax_gene_5332
SIRT1,es_20200604115458946274,10,23411,23411,es_20200422164905397543,esl_20200604115458946274,jax_gene_23411
TBP,es_20200604115458946300,6,6908,6908,es_20200422175747686130,esl_20200604115458946300,jax_gene_6908
CTCF,es_20200604115458946327,16,10664,10664,es_20200422164909090936,esl_20200604115458946327,jax_gene_10664
NUAK1,es_20200604115458946353,12,9891,9891,es_20200422164910239552,esl_20200604115458946353,jax_gene_9891
PIK3AP1,es_20200604115458946376,10,118788,118788,es_20200422164921331555,esl_20200604115458946376,jax_gene_118788
WNT7A,es_20200604115458946400,3,7476,7476,es_20200422164913957603,esl_20200604115458946400,jax_gene_7476
ADAR,es_20200604115458946424,1,103,103,es_20200422164936256533,esl_20200604115458946424,jax_gene_103
STAT1,es_20200604115458946469,2,6772,6772,es_20200422164918970552,esl_20200604115458946469,jax_gene_6772
CCND2,es_20200604115458946503,12,894,894,es_20200422175749732003,esl_20200604115458946503,jax_gene_894
CENPA,es_20200604115458946528,2,1058,1058,es_20200422164914514489,esl_20200604115458946528,jax_gene_1058
HDAC1,es_20200604115458946552,1,3065,3065,es_20200422164917136870,esl_20200604115458946552,jax_gene_3065
IL6R,es_20200604115458946580,1,3570,3570,es_20200422164920427208,esl_20200604115458946580,jax_gene_3570
BTK,es_20200604115458946610,X,695,695,es_20200422164925056512,esl_20200604115458946610,jax_gene_695
DNAJB1,es_20200604115458946640,19,3337,3337,es_20200422164926052677,esl_20200604115458946640,jax_gene_3337
FANCC,es_20200604115458946668,9,2176,2176,es_20200422164923250636,esl_20200604115458946668,jax_gene_2176
EP300,es_20200604115458946699,22,2033,2033,es_20200422164928434991,esl_20200604115458946699,jax_gene_2033
DTX3L,es_20200604115458946726,3,151636,151636,es_20200422175757427085,esl_20200604115458946726,jax_gene_151636
CDK12,es_20200604115458946751,17,51755,51755,es_20200422175754762324,esl_20200604115458946751,jax_gene_51755
NCOA3,es_20200604115458946806,20,8202,8202,es_20200422164939828749,esl_20200604115458946806,jax_gene_8202
PRKAR1B,es_20200604115458946844,7,5575,5575,es_20200422164938312927,esl_20200604115458946844,jax_gene_5575
POLR2A,es_20200604115458946868,17,5430,5430,es_20200422164940879449,esl_20200604115458946868,jax_gene_5430
APOBEC3C,es_20200604115458946901,22,27350,27350,es_20200422164931711555,esl_20200604115458946901,jax_gene_27350
FCER2,es_20200604115458946932,19,2208,2208,es_20200422164956709340,esl_20200604115458946932,jax_gene_2208
CA9,es_20200604115458946961,9,768,768,es_20200422164945195785,esl_20200604115458946961,jax_gene_768
SPAG9,es_20200604115458946985,17,9043,9043,es_20200422164943494243,esl_20200604115458946985,jax_gene_9043
H2BC4,es_20200604115458947017,6,8347,8347,es_20200422164938839537,esl_20200604115458947017,jax_gene_8347
MAX,es_20200604115458947049,14,4149,4149,es_20200422165002179486,esl_20200604115458947049,jax_gene_4149
CD33,es_20200604115458947072,19,945,945,es_20200422164942008667,esl_20200604115458947072,jax_gene_945
MEN1,es_20200604115458947098,11,4221,4221,es_20200422164942976166,esl_20200604115458947098,jax_gene_4221
EPOP,es_20200604115458947123,17,100170841,100170841,es_20200422164949981953,esl_20200604115458947123,jax_gene_100170841
ROR1,es_20200604115458947148,1,4919,4919,es_20200422164947033486,esl_20200604115458947148,jax_gene_4919
ERBB2,es_20200604115458947173,17,2064,2064,es_20200422164949387359,esl_20200604115458947173,jax_gene_2064
AFF1,es_20200604115458947205,4,4299,4299,es_20200422164952799595,esl_20200604115458947205,jax_gene_4299
ZNF444,es_20200604115458947231,19,55311,55311,es_20200422164951424087,esl_20200604115458947231,jax_gene_55311
NF1,es_20200604115458947259,17,4763,4763,es_20200422164953794340,esl_20200604115458947259,jax_gene_4763
QKI,es_20200604115458947286,6,9444,9444,es_20200422164955134094,esl_20200604115458947286,jax_gene_9444
SERPINB4,es_20200604115458947334,18,6318,6318,es_20200422165007755169,esl_20200604115458947334,jax_gene_6318
CASP8,es_20200604115458947366,2,841,841,es_20200422165015908033,esl_20200604115458947366,jax_gene_841
ANGPT1,es_20200604115458947395,8,284,284,es_20200422165001142328,esl_20200604115458947395,jax_gene_284
DKK1,es_20200604115458947421,10,22943,22943,es_20200422164957620250,esl_20200604115458947421,jax_gene_22943
ID3,es_20200604115458947446,1,3399,3399,es_20200422165004065920,esl_20200604115458947446,jax_gene_3399
EIF4E,es_20200604115458947470,4,1977,1977,es_20200422164959774353,esl_20200604115458947470,jax_gene_1977
ESRP1,es_20200604115458947499,8,54845,54845,es_20200422165006187011,esl_20200604115458947499,jax_gene_54845
ERCC4,es_20200604115458947524,16,2072,2072,es_20200422165007206339,esl_20200604115458947524,jax_gene_2072
CCNT1,es_20200604115458947552,12,904,904,es_20200422175801993564,esl_20200604115458947552,jax_gene_904
PARP1,es_20200604115458947578,1,142,142,es_20200422165010641540,esl_20200604115458947578,jax_gene_142
RAD51,es_20200604115458947608,15,5888,5888,es_20200422165022826899,esl_20200604115458947608,jax_gene_5888
NFATC3,es_20200604115458947639,16,4775,4775,es_20200422165008318240,esl_20200604115458947639,jax_gene_4775
SMC1A,es_20200604115458947678,X,8243,8243,es_20200422165018246376,esl_20200604115458947678,jax_gene_8243
MAPK14,es_20200604115458947711,6,1432,1432,es_20200422165025969011,esl_20200604115458947711,jax_gene_1432
DDIT4,es_20200604115458947746,10,54541,54541,es_20200422165029546014,esl_20200604115458947746,jax_gene_54541
SRGAP3,es_20200604115458947772,3,9901,9901,es_20200422165021543359,esl_20200604115458947772,jax_gene_9901
FAM166A,es_20200604115458947799,9,401565,401565,es_20200422165017701854,esl_20200604115458947799,jax_gene_401565
FANCI,es_20200604115458947879,15,55215,55215,es_20200422165026451494,esl_20200604115458947879,jax_gene_55215
ACSL6,es_20200604115458947909,5,23305,23305,es_20200422165040477408,esl_20200604115458947909,jax_gene_23305
ATR,es_20200604115458947937,3,545,545,es_20200422175803218900,esl_20200604115458947937,jax_gene_545
MYCL,es_20200604115458947964,1,4610,4610,es_20200422165057870585,esl_20200604115458947964,jax_gene_4610
HEY2,es_20200604115458947991,6,23493,23493,es_20200422165027880544,esl_20200604115458947991,jax_gene_23493
FANCM,es_20200604115458948049,14,57697,57697,es_20200422165035262638,esl_20200604115458948049,jax_gene_57697
FGF4,es_20200604115458948078,11,2249,2249,es_20200422165048438542,esl_20200604115458948078,jax_gene_2249
AKR1C3,es_20200604115458948109,10,8644,8644,es_20200422165051533429,esl_20200604115458948109,jax_gene_8644
PDE4D,es_20200604115458948139,5,5144,5144,es_20200422175807712404,esl_20200604115458948139,jax_gene_5144
MTOR,es_20200604115458948167,1,2475,2475,es_20200422165034279545,esl_20200604115458948167,jax_gene_2475
PDCD1,es_20200604115458948196,2,5133,5133,es_20200422165041841109,esl_20200604115458948196,jax_gene_5133
PRKAA2,es_20200604115458948226,1,5563,5563,es_20200422165046079452,esl_20200604115458948226,jax_gene_5563
H3C4,es_20200604115458948252,6,8351,8351,es_20200422165044662265,esl_20200604115458948252,jax_gene_8351
ENTPD1,es_20200604115458948287,10,953,953,es_20200422165050181629,esl_20200604115458948287,jax_gene_953
MPL,es_20200604115458948313,1,4352,4352,es_20200422165121485726,esl_20200604115458948313,jax_gene_4352
POLE,es_20200604115458948368,12,5426,5426,es_20200422165052758132,esl_20200604115458948368,jax_gene_5426
BICC1,es_20200604115458948396,10,80114,80114,es_20200422165058814599,esl_20200604115458948396,jax_gene_80114
DDX21,es_20200604115458948421,10,9188,9188,es_20200422175805553828,esl_20200604115458948421,jax_gene_9188
LLGL2,es_20200604115458948448,17,3993,3993,es_20200422165101710381,esl_20200604115458948448,jax_gene_3993
RUNX1,es_20200604115458948474,21,861,861,es_20200422165105788178,esl_20200604115458948474,jax_gene_861
KPNA3,es_20200604115458948505,13,3839,3839,es_20200422175806465070,esl_20200604115458948505,jax_gene_3839
MAP3K5,es_20200604115458948533,6,4217,4217,es_20200422165110721663,esl_20200604115458948533,jax_gene_4217
ZSCAN30,es_20200604115458948559,18,100101467,100101467,es_20200422165109372279,esl_20200604115458948559,jax_gene_100101467
IGF2,es_20200604115458948585,11,3481,3481,es_20200422165126134708,esl_20200604115458948585,jax_gene_3481
ABL2,es_20200604115458948612,1,27,27,es_20200422165130705909,esl_20200604115458948612,jax_gene_27
INSR,es_20200604115458948636,19,3643,3643,es_20200422165107114183,esl_20200604115458948636,jax_gene_3643
XRCC6,es_20200604115458948660,22,2547,2547,es_20200422165109864682,esl_20200604115458948660,jax_gene_2547
ZNF767P,es_20200604115458948689,7,79970,79970,es_20200422165113847583,esl_20200604115458948689,jax_gene_79970
BRD2,es_20200604115458948712,6,6046,6046,es_20200422165122880714,esl_20200604115458948712,jax_gene_6046
FGFR1OP2,es_20200604115458948743,12,26127,26127,es_20200422165116915903,esl_20200604115458948743,jax_gene_26127
SRP54,es_20200604115458948768,14,6729,6729,es_20200422165127128074,esl_20200604115458948768,jax_gene_6729
CD79A,es_20200604115458948792,19,973,973,es_20200422165112973702,esl_20200604115458948792,jax_gene_973
MELK,es_20200604115458948816,9,9833,9833,es_20200422175810245573,esl_20200604115458948816,jax_gene_9833
CTNND1,es_20200604115458948839,11,1500,1500,es_20200422165117866858,esl_20200604115458948839,jax_gene_1500
ADORA2A,es_20200604115458948871,22,135,135,es_20200422165120166761,esl_20200604115458948871,jax_gene_135
MAP2K4,es_20200604115458948896,17,6416,6416,es_20200422165123908853,esl_20200604115458948896,jax_gene_6416
RPGR,es_20200604115458948930,X,6103,6103,es_20200422175813063830,esl_20200604115458948930,jax_gene_6103
SSTR2,es_20200604115458948961,17,6752,6752,es_20200422165244723193,esl_20200604115458948961,jax_gene_6752
PSMB5,es_20200604115458948983,14,5693,5693,es_20200422165135419032,esl_20200604115458948983,jax_gene_5693
CCNE1,es_20200604115458949008,19,898,898,es_20200422175816172052,esl_20200604115458949008,jax_gene_898
