name,canonicalTranscript,chromosome,entrezId,jaxId,description_graph_id,graph_id
MEF2B,NM_005919,19,100271849,100271849,es_20200422164727509834,jax_gene_100271849
PTPRR,NM_002849,12,5801,5801,es_20200422164732392255,jax_gene_5801
PMS1,NM_000534,2,5378,5378,es_20200422175728836394,jax_gene_5378
BFSP2,None,3,8419,8419,es_20200422164706387469,jax_gene_8419
LRRFIP1,NM_001137552,2,9208,9208,es_20200422175727369614,jax_gene_9208
GNMT,NM_018960,6,27232,27232,es_20200422164715875994,jax_gene_27232
SEM1,NM_006304,7,7979,7979,es_20200422164722451595,jax_gene_7979
CDH6,NM_004932,5,1004,1004,es_20200422164717274014,jax_gene_1004
SDHC,NM_003001,1,6391,6391,es_20200422164724008050,jax_gene_6391
GATM,NM_001482,15,2628,2628,es_20200422164726343073,jax_gene_2628
CDC73,NM_024529,1,79577,79577,es_20200422164730347513,jax_gene_79577
APOBEC4,NM_203454,1,403314,403314,es_20200422164733238376,jax_gene_403314
PTEN,NM_000314,10,5728,5728,es_20200422164734290566,jax_gene_5728
KDM3A,NM_018433,2,55818,55818,es_20200422175733158385,jax_gene_55818
CD79B,NM_000626,17,974,974,es_20200422164739693825,jax_gene_974
LSM14A,NM_001114093,19,26065,26065,es_20200422164740665181,jax_gene_26065
ARMC10,NM_031905,7,83787,83787,es_20200422175730881118,jax_gene_83787
NUP98,XM_005252950,11,4928,4928,es_20200422164751178838,jax_gene_4928
IGFBP7,NM_001553,4,3490,3490,es_20200422164748085549,jax_gene_3490
ZRSR2,NM_005089,X,8233,8233,es_20200422164744759117,jax_gene_8233
EED,NM_003797,11,8726,8726,es_20200422164749725751,jax_gene_8726
SYK,NM_003177,9,6850,6850,es_20200422164758970059,jax_gene_6850
RIT1,NM_006912,1,6016,6016,es_20200422164756494167,jax_gene_6016
GEN1,NM_182625,2,348654,348654,es_20200422164746515573,jax_gene_348654
ZKSCAN5,NM_145102,7,23660,23660,es_20200422164801440956,jax_gene_23660
SEMA4D,NM_006378,9,10507,10507,es_20200422164747562889,jax_gene_10507
MSH6,NM_000179,2,2956,2956,es_20200422164752911716,jax_gene_2956
SGK1,NM_005627,6,6446,6446,es_20200422164754700063,jax_gene_6446
VTCN1,NM_024626,1,79679,79679,es_20200422175751866479,jax_gene_79679
LOC389473,None,7,389473,389473,es_20200422175735983254,jax_gene_389473
RPTOR,NM_020761.2,17,57521,57521,es_20200422164800472158,jax_gene_57521
CDX2,NM_001265,13,1045,1045,es_20200422164759992202,jax_gene_1045
BAG4,NM_004874,8,9530,9530,es_20200422164809572790,jax_gene_9530
SMYD3,NM_001167740,1,64754,64754,es_20200422164805556847,jax_gene_64754
DPP4,NM_001935,2,1803,1803,es_20200422164802404308,jax_gene_1803
KMT2B,NM_014727,19,9757,9757,es_20200422164811467270,jax_gene_9757
KLB,NM_175737,4,152831,152831,es_20200422164816612159,jax_gene_152831
PLAG1,NM_002655,8,5324,5324,es_20200422164815121927,jax_gene_5324
CCNA1,NM_003914,13,8900,8900,es_20200422164810504337,jax_gene_8900
GNA13,NM_006572,17,10672,10672,es_20200422164812463331,jax_gene_10672
TNFRSF10B,NM_003842,8,8795,8795,es_20200422164820280445,jax_gene_8795
PRDM16,NM_022114,1,63976,63976,es_20200422164816046957,jax_gene_63976
PPP2R1A,NM_014225,19,5518,5518,es_20200422164823538512,jax_gene_5518
TFE3,NM_006521,X,7030,7030,es_20200422175736567560,jax_gene_7030
GNAI1,NM_002069,7,2770,2770,es_20200422164841033582,jax_gene_2770
HOOK3,NM_032410,8,84376,84376,es_20200422164849328576,jax_gene_84376
YES1,NM_005433,18,7525,7525,es_20200422164824977021,jax_gene_7525
TPR,NM_003292,1,7175,7175,es_20200422164822155211,jax_gene_7175
KDM3B,NM_016604,5,51780,51780,es_20200422175739947664,jax_gene_51780
CCNK,NM_001099402,14,8812,8812,es_20200422175741895163,jax_gene_8812
FAM76A,NM_152660,1,199870,199870,es_20200422164829444624,jax_gene_199870
EMSY,NM_020193,11,56946,56946,es_20200422164832704131,jax_gene_56946
CDK4,NM_000075,12,1019,1019,es_20200422164835361676,jax_gene_1019
VDR,NM_000376,12,7421,7421,es_20200422164850713583,jax_gene_7421
EPHB2,NM_004442,1,2048,2048,es_20200422164904291348,jax_gene_2048
FAS,NM_000043,10,355,355,es_20200422164830920911,jax_gene_355
SH2B3,NM_005475,12,10019,10019,es_20200422164838926669,jax_gene_10019
TMEM126A,NM_032273,11,84233,84233,es_20200422164841905685,jax_gene_84233
RPA3,NM_002947,7,6119,6119,es_20200422164843055717,jax_gene_6119
MAP3K8,NM_005204,10,1326,1326,es_20200422164846008535,jax_gene_1326
NISCH,NM_007184,3,11188,11188,es_20200422175743794334,jax_gene_11188
CHTOP,NM_015607,1,26097,26097,es_20200422164853685795,jax_gene_26097
GATA1,NM_002049,X,2623,2623,es_20200422164851620437,jax_gene_2623
RNF11,NM_014372,1,26994,26994,es_20200422175745715055,jax_gene_26994
POLQ,NM_199420,3,10721,10721,es_20200422164857863068,jax_gene_10721
SUFU,NM_016169,10,51684,51684,es_20200422164902668762,jax_gene_51684
CCDC91,NM_018318,12,55297,55297,es_20200422164902132830,jax_gene_55297
PLCB4,NM_182797,20,5332,5332,es_20200422164908074099,jax_gene_5332
SIRT1,NM_012238,10,23411,23411,es_20200422164905397543,jax_gene_23411
TBP,NM_003194,6,6908,6908,es_20200422175747686130,jax_gene_6908
CTCF,NM_006565,16,10664,10664,es_20200422164909090936,jax_gene_10664
NUAK1,NM_014840,12,9891,9891,es_20200422164910239552,jax_gene_9891
PIK3AP1,NM_152309,10,118788,118788,es_20200422164921331555,jax_gene_118788
WNT7A,NM_004625,3,7476,7476,es_20200422164913957603,jax_gene_7476
ADAR,NM_001111,1,103,103,es_20200422164936256533,jax_gene_103
STAT1,NM_007315,2,6772,6772,es_20200422164918970552,jax_gene_6772
CCND2,NM_001759,12,894,894,es_20200422175749732003,jax_gene_894
CENPA,NM_001809,2,1058,1058,es_20200422164914514489,jax_gene_1058
HDAC1,NM_004964,1,3065,3065,es_20200422164917136870,jax_gene_3065
IL6R,NM_000565,1,3570,3570,es_20200422164920427208,jax_gene_3570
BTK,NM_000061,X,695,695,es_20200422164925056512,jax_gene_695
DNAJB1,NM_006145,19,3337,3337,es_20200422164926052677,jax_gene_3337
FANCC,NM_000136,9,2176,2176,es_20200422164923250636,jax_gene_2176
EP300,NM_001429,22,2033,2033,es_20200422164928434991,jax_gene_2033
DTX3L,NM_138287,3,151636,151636,es_20200422175757427085,jax_gene_151636
CDK12,NM_016507,17,51755,51755,es_20200422175754762324,jax_gene_51755
NCOA3,NM_181659,20,8202,8202,es_20200422164939828749,jax_gene_8202
PRKAR1B,NM_001164760,7,5575,5575,es_20200422164938312927,jax_gene_5575
POLR2A,NM_000937,17,5430,5430,es_20200422164940879449,jax_gene_5430
APOBEC3C,NM_014508,22,27350,27350,es_20200422164931711555,jax_gene_27350
FCER2,NM_002002,19,2208,2208,es_20200422164956709340,jax_gene_2208
CA9,NM_001216,9,768,768,es_20200422164945195785,jax_gene_768
SPAG9,NM_001130528,17,9043,9043,es_20200422164943494243,jax_gene_9043
H2BC4,NM_003526,6,8347,8347,es_20200422164938839537,jax_gene_8347
MAX,NM_002382,14,4149,4149,es_20200422165002179486,jax_gene_4149
CD33,NM_001772,19,945,945,es_20200422164942008667,jax_gene_945
MEN1,NM_130804,11,4221,4221,es_20200422164942976166,jax_gene_4221
EPOP,NM_001130677,17,100170841,100170841,es_20200422164949981953,jax_gene_100170841
ROR1,NM_005012,1,4919,4919,es_20200422164947033486,jax_gene_4919
ERBB2,NM_004448,17,2064,2064,es_20200422164949387359,jax_gene_2064
AFF1,NM_005935,4,4299,4299,es_20200422164952799595,jax_gene_4299
ZNF444,NM_018337,19,55311,55311,es_20200422164951424087,jax_gene_55311
NF1,NM_001042492,17,4763,4763,es_20200422164953794340,jax_gene_4763
QKI,NM_006775,6,9444,9444,es_20200422164955134094,jax_gene_9444
SERPINB4,NM_002974,18,6318,6318,es_20200422165007755169,jax_gene_6318
CASP8,NM_033355,2,841,841,es_20200422165015908033,jax_gene_841
ANGPT1,NM_001146,8,284,284,es_20200422165001142328,jax_gene_284
DKK1,NM_012242,10,22943,22943,es_20200422164957620250,jax_gene_22943
ID3,NM_002167,1,3399,3399,es_20200422165004065920,jax_gene_3399
EIF4E,NM_001968,4,1977,1977,es_20200422164959774353,jax_gene_1977
ESRP1,NM_017697,8,54845,54845,es_20200422165006187011,jax_gene_54845
ERCC4,NM_005236,16,2072,2072,es_20200422165007206339,jax_gene_2072
CCNT1,NM_001240,12,904,904,es_20200422175801993564,jax_gene_904
PARP1,NM_001618,1,142,142,es_20200422165010641540,jax_gene_142
RAD51,NM_002875,15,5888,5888,es_20200422165022826899,jax_gene_5888
NFATC3,NM_173165,16,4775,4775,es_20200422165008318240,jax_gene_4775
SMC1A,NM_006306,X,8243,8243,es_20200422165018246376,jax_gene_8243
MAPK14,NM_139012,6,1432,1432,es_20200422165025969011,jax_gene_1432
DDIT4,NM_019058,10,54541,54541,es_20200422165029546014,jax_gene_54541
SRGAP3,NM_014850,3,9901,9901,es_20200422165021543359,jax_gene_9901
FAM166A,NM_001001710,9,401565,401565,es_20200422165017701854,jax_gene_401565
FANCI,NM_001113378,15,55215,55215,es_20200422165026451494,jax_gene_55215
ACSL6,NM_001205248,5,23305,23305,es_20200422165040477408,jax_gene_23305
ATR,NM_001184,3,545,545,es_20200422175803218900,jax_gene_545
MYCL,NM_001033081,1,4610,4610,es_20200422165057870585,jax_gene_4610
HEY2,NM_012259,6,23493,23493,es_20200422165027880544,jax_gene_23493
FANCM,NM_020937,14,57697,57697,es_20200422165035262638,jax_gene_57697
FGF4,NM_002007,11,2249,2249,es_20200422165048438542,jax_gene_2249
AKR1C3,NM_003739,10,8644,8644,es_20200422165051533429,jax_gene_8644
PDE4D,NM_001104631,5,5144,5144,es_20200422175807712404,jax_gene_5144
MTOR,NM_004958,1,2475,2475,es_20200422165034279545,jax_gene_2475
PDCD1,NM_005018,2,5133,5133,es_20200422165041841109,jax_gene_5133
PRKAA2,NM_006252,1,5563,5563,es_20200422165046079452,jax_gene_5563
H3C4,NM_003530,6,8351,8351,es_20200422165044662265,jax_gene_8351
ENTPD1,NM_001776,10,953,953,es_20200422165050181629,jax_gene_953
MPL,NM_005373,1,4352,4352,es_20200422165121485726,jax_gene_4352
POLE,NM_006231,12,5426,5426,es_20200422165052758132,jax_gene_5426
BICC1,NM_001080512,10,80114,80114,es_20200422165058814599,jax_gene_80114
DDX21,NM_004728.3,10,9188,9188,es_20200422175805553828,jax_gene_9188
LLGL2,NM_001031803,17,3993,3993,es_20200422165101710381,jax_gene_3993
RUNX1,NM_001001890,21,861,861,es_20200422165105788178,jax_gene_861
KPNA3,NM_002267,13,3839,3839,es_20200422175806465070,jax_gene_3839
MAP3K5,NM_005923,6,4217,4217,es_20200422165110721663,jax_gene_4217
ZSCAN30,NM_001166012,18,100101467,100101467,es_20200422165109372279,jax_gene_100101467
IGF2,NM_000612,11,3481,3481,es_20200422165126134708,jax_gene_3481
ABL2,NM_007314,1,27,27,es_20200422165130705909,jax_gene_27
INSR,NM_000208,19,3643,3643,es_20200422165107114183,jax_gene_3643
XRCC6,NM_001469,22,2547,2547,es_20200422165109864682,jax_gene_2547
ZNF767P,None,7,79970,79970,es_20200422165113847583,jax_gene_79970
BRD2,NM_005104,6,6046,6046,es_20200422165122880714,jax_gene_6046
FGFR1OP2,NM_015633,12,26127,26127,es_20200422165116915903,jax_gene_26127
SRP54,NM_003136,14,6729,6729,es_20200422165127128074,jax_gene_6729
CD79A,NM_001783,19,973,973,es_20200422165112973702,jax_gene_973
MELK,NM_014791,9,9833,9833,es_20200422175810245573,jax_gene_9833
CTNND1,NM_001085458,11,1500,1500,es_20200422165117866858,jax_gene_1500
ADORA2A,NM_001278500,22,135,135,es_20200422165120166761,jax_gene_135
MAP2K4,NM_003010,17,6416,6416,es_20200422165123908853,jax_gene_6416
RPGR,NM_000328,X,6103,6103,es_20200422175813063830,jax_gene_6103
SSTR2,NM_001050,17,6752,6752,es_20200422165244723193,jax_gene_6752
PSMB5,NM_002797,14,5693,5693,es_20200422165135419032,jax_gene_5693
CCNE1,NM_001238,19,898,898,es_20200422175816172052,jax_gene_898
SMC3,NM_005445,10,9126,9126,es_20200422165128035763,jax_gene_9126
TMB,None,None,None,999999991,es_20200422165132608590,jax_gene_999999991
KNSTRN,NM_033286,15,90417,90417,es_20200422175814600198,jax_gene_90417
ASXL1,NM_015338,20,171023,171023,es_20200422165134161664,jax_gene_171023
PNRC1,NM_006813,6,10957,10957,es_20200422165146220685,jax_gene_10957
RCSD1,NM_052862,1,92241,92241,es_20200422165132705213,jax_gene_92241
RARA,NM_000964,17,5914,5914,es_20200422165139049944,jax_gene_5914
RAD50,NM_005732,5,10111,10111,es_20200422165140345580,jax_gene_10111
CHEK1,NM_001114121,11,1111,1111,es_20200422175817848389,jax_gene_1111
AFP,NM_001134,4,174,174,es_20200422165150674871,jax_gene_174
EPHA5,NM_004439,4,2044,2044,es_20200422175821049538,jax_gene_2044
MST1,NM_020998,3,4485,4485,es_20200422165217816822,jax_gene_4485
BRD3,NM_007371,9,8019,8019,es_20200422165156768262,jax_gene_8019
ACTC1,NM_005159,15,70,70,es_20200422165214640639,jax_gene_70
NRAS,NM_002524,1,4893,4893,es_20200422165158302131,jax_gene_4893
PTPN11,NM_001330437,12,5781,5781,es_20200422165202630033,jax_gene_5781
HOXA9,NM_152739,7,3205,3205,es_20200422165206379784,jax_gene_3205
CLCN6,NM_001286,1,1185,1185,es_20200422165236077235,jax_gene_1185
NUB1,XM_005250011,7,51667,51667,es_20200422165224301402,jax_gene_51667
CCN2,NM_001901,6,1490,1490,es_20200422175827198867,jax_gene_1490
CD276,NM_001024736,15,80381,80381,es_20200422175823320153,jax_gene_80381
PIK3CG,NM_001282426,7,5294,5294,es_20200422165225258858,jax_gene_5294
RNPC3,NM_017619.3,1,55599,55599,es_20200422165232777438,jax_gene_55599
CDK18,NM_002596,1,5129,5129,es_20200422165230003940,jax_gene_5129
PRKCB,NM_212535,16,5579,5579,es_20200422165231008545,jax_gene_5579
PPHLN1,NM_016488,12,51535,51535,es_20200422165238532085,jax_gene_51535
ESRRA,NM_004451,11,2101,2101,es_20200422175825383117,jax_gene_2101
BRDT,NM_001242805,1,676,676,es_20200422175829013241,jax_gene_676
NEK11,NM_024800,3,79858,79858,es_20200422175830325126,jax_gene_79858
FGF8,NM_033164,10,2253,2253,es_20200422165237116670,jax_gene_2253
PFN2,NM_053024,3,5217,5217,es_20200422165358484424,jax_gene_5217
ROCK1,NM_005406,18,6093,6093,es_20200422165239516254,jax_gene_6093
DAPK3,NM_001348,19,1613,1613,es_20200422165244236898,jax_gene_1613
NFE2L2,NM_006164,2,4780,4780,es_20200422165302601270,jax_gene_4780
FAT1,NM_005245,4,2195,2195,es_20200422165240543964,jax_gene_2195
PRPF40B,XM_011538141,12,25766,25766,es_20200422165245975013,jax_gene_25766
FLCN,NM_144997,17,201163,201163,es_20200422165301228677,jax_gene_201163
FER1L5,NM_001293083,2,90342,90342,es_20200422165306965154,jax_gene_90342
ELAVL1,NM_001419,19,1994,1994,es_20200422165255105335,jax_gene_1994
PBK,NM_018492,8,55872,55872,es_20200422165258495178,jax_gene_55872
NUTM2E,None,10,283008,283008,es_20200422165306039491,jax_gene_283008
KIT,NM_000222,4,3815,3815,es_20200422165314046478,jax_gene_3815
MBIP,NM_016586,14,51562,51562,es_20200422165300303990,jax_gene_51562
RAD51D,NM_002878,17,5892,5892,es_20200422165304099609,jax_gene_5892
ERCC2,NM_000400,19,2068,2068,es_20200422165311466043,jax_gene_2068
PRPF8,NM_006445,17,10594,10594,es_20200422165315367607,jax_gene_10594
GUCY2C,NM_004963,12,2984,2984,es_20200422165308008516,jax_gene_2984
ICAM1,NM_000201,19,3383,3383,es_20200422165308926228,jax_gene_3383
WASF1,NM_003931,6,8936,8936,es_20200422175832750827,jax_gene_8936
GYG1,NM_004130,3,2992,2992,es_20200422165324493707,jax_gene_2992
TEK,NM_000459,9,7010,7010,es_20200422165322147614,jax_gene_7010
RAD17,NM_133339,5,5884,5884,es_20200422165319524532,jax_gene_5884
NTRK2,NM_001018064,9,4915,4915,es_20200422165313214779,jax_gene_4915
DEK,NM_003472,6,7913,7913,es_20200422165317326463,jax_gene_7913
PTK7,NM_002821,6,5754,5754,es_20200422165325616248,jax_gene_5754
PGR,NM_000926,11,5241,5241,es_20200422165329469708,jax_gene_5241
PER1,NM_002616,17,5187,5187,es_20200422165323089619,jax_gene_5187
PRKCD,NM_212539,3,5580,5580,es_20200422165339321161,jax_gene_5580
RAD54L2,NM_015106,3,23132,23132,es_20200422165328494675,jax_gene_23132
TNFRSF4,NM_003327,1,7293,7293,es_20200422165327154821,jax_gene_7293
KDELR2,NM_006854,7,11014,11014,es_20200422175834840841,jax_gene_11014
CLTCL1,NM_007098,22,8218,8218,es_20200422165337484627,jax_gene_8218
LMNA,NM_170707,1,4000,4000,es_20200422165332973188,jax_gene_4000
TMEM106B,NM_018374,7,54664,54664,es_20200422165335607744,jax_gene_54664
BID,NM_001196,22,637,637,es_20200422165331690688,jax_gene_637
RET,NM_020975,10,5979,5979,es_20200422165341272691,jax_gene_5979
NCAM1,NM_181351,11,4684,4684,es_20200422165334288754,jax_gene_4684
LIN28A,NM_024674,1,79727,79727,es_20200422165355165953,jax_gene_79727
MPRIP,NM_201274,17,23164,23164,es_20200422165352489451,jax_gene_23164
SSTR3,NM_001051,22,6753,6753,es_20200422165505570287,jax_gene_6753
ARF1,NM_001658,1,375,375,es_20200422165344903133,jax_gene_375
RNF213,NM_001256071,17,57674,57674,es_20200422165345829879,jax_gene_57674
KEL,NM_000420,7,3792,3792,es_20200422165348099477,jax_gene_3792
ANKRD1,NM_014391,10,27063,27063,es_20200422165349516451,jax_gene_27063
AREG,NM_001657,4,374,374,es_20200422165354262720,jax_gene_374
SLC45A3,NM_033102,1,85414,85414,es_20200422165346796520,jax_gene_85414
FGF23,NM_020638,12,8074,8074,es_20200422165350431380,jax_gene_8074
GPRIN2,NM_014696,10,9721,9721,es_20200422165357325247,jax_gene_9721
TGFBR1,NM_004612,9,7046,7046,es_20200422165406257013,jax_gene_7046
LRRC71,NM_144702,1,149499,149499,es_20200422165416320695,jax_gene_149499
ICOSLG,NM_015259,21,23308,23308,es_20200422175836306480,jax_gene_23308
PCBP2,NM_001128911,12,5094,5094,es_20200422165400781726,jax_gene_5094
PPARGC1A,NM_013261,4,10891,10891,es_20200422165402529105,jax_gene_10891
PARP2,NM_005484,14,10038,10038,es_20200422165359860362,jax_gene_10038
TARBP2,NM_134323,12,6895,6895,es_20200422165417305064,jax_gene_6895
TSGA10,NM_025244,2,80705,80705,es_20200422165409164113,jax_gene_80705
PPL,NM_002705,16,5493,5493,es_20200422165421452413,jax_gene_5493
CA6,NM_001215,1,765,765,es_20200422165453941455,jax_gene_765
SOX2,NM_003106,3,6657,6657,es_20200422165407216118,jax_gene_6657
IRF8,NM_002163,16,3394,3394,es_20200422165420013210,jax_gene_3394
CFTR,NM_000492,7,1080,1080,es_20200422165437337592,jax_gene_1080
EREG,NM_001432,4,2069,2069,es_20200422165459175358,jax_gene_2069
TNFSF4,NM_003326,1,7292,7292,es_20200422165414545486,jax_gene_7292
CCNI,NM_006835,4,10983,10983,es_20200422175838323601,jax_gene_10983
SEPTIN14,NM_207366,7,346288,346288,es_20200422165423255159,jax_gene_346288
ENPP3,NM_005021,6,5169,5169,es_20200422165427843428,jax_gene_5169
KCTD7,NM_153033,7,154881,154881,es_20200422165426923013,jax_gene_154881
ZNF703,NM_025069,8,80139,80139,es_20200422165438292768,jax_gene_80139
RAD21,NM_006265,8,5885,5885,es_20200422165446206486,jax_gene_5885
CATSPERZ,NM_001039496,11,25858,25858,es_20200422165453040587,jax_gene_25858
LOXL2,NM_002318,8,4017,4017,es_20200422165456969492,jax_gene_4017
NOTCH1,NM_017617,9,4851,4851,es_20200422165449901176,jax_gene_4851
ITGA5,NM_002205,12,3678,3678,es_20200422165455421339,jax_gene_3678
IKBKB,NM_001556,8,3551,3551,es_20200422165507249986,jax_gene_3551
ANGPT2,NM_001147,8,285,285,es_20200422165731656371,jax_gene_285
IRF4,NM_002460,6,3662,3662,es_20200422165735322684,jax_gene_3662
NTRK1,NM_002529,1,4914,4914,es_20200422165502032305,jax_gene_4914
PRMT6,NM_018137,1,55170,55170,es_20200422165511615126,jax_gene_55170
ELAVL3,NM_001420,19,1995,1995,es_20200422165509298196,jax_gene_1995
TCF3,NM_003200,19,6929,6929,es_20200422165500623113,jax_gene_6929
NFIB,NM_005596,9,4781,4781,es_20200422165513872484,jax_gene_4781
KIR2DL1,NM_014218,19,3802,3802,es_20200422165508221220,jax_gene_3802
GNG2,NM_053064,14,54331,54331,es_20200422165510673243,jax_gene_54331
RAD52,NM_001297419,12,5893,5893,es_20200422165514756243,jax_gene_5893
FASN,NM_004104,17,2194,2194,es_20200422165518431736,jax_gene_2194
ZFP36L1,NM_001244698,14,677,677,es_20200422165520690862,jax_gene_677
RAD54B,NM_012415,8,25788,25788,es_20200422175839906502,jax_gene_25788
MAGEA6,NM_005363,X,4105,4105,es_20200422165517118455,jax_gene_4105
PRKCA,NM_002737,17,5578,5578,es_20200422165527526061,jax_gene_5578
CDK17,NM_002595,12,5128,5128,es_20200422165526563511,jax_gene_5128
OSBPL1A,NM_080597,18,114876,114876,es_20200422165532571459,jax_gene_114876
KCNQ2,NM_172107,20,3785,3785,es_20200422165525558385,jax_gene_3785
FGF7,NM_002009,15,2252,2252,es_20200422165529280331,jax_gene_2252
NRAP,NM_198060,10,4892,4892,es_20200422165533968997,jax_gene_4892
AURKA,NM_198435,20,6790,6790,es_20200422165556980757,jax_gene_6790
EPHA7,NM_004440,6,2045,2045,es_20200422165534999982,jax_gene_2045
IRAK1,NM_001569,X,3654,3654,es_20200422165538719770,jax_gene_3654
MAPRE1,NM_012325,20,22919,22919,es_20200422165531491482,jax_gene_22919
PDCD1LG2,NM_025239,9,80380,80380,es_20200422175842237441,jax_gene_80380
NUTM1,XM_011521429,15,256646,256646,es_20200422165542473011,jax_gene_256646
PIK3R1,NM_181523,5,5295,5295,es_20200422165544996994,jax_gene_5295
ESR2,NM_001437,14,2100,2100,es_20200422165554348935,jax_gene_2100
CD74,NM_001025159,5,972,972,es_20200422165636797493,jax_gene_972
GOLGA4,NM_002078,3,2803,2803,es_20200422165543559421,jax_gene_2803
TMEM98,NM_015544,17,26022,26022,es_20200422165558176525,jax_gene_26022
CCNF,NM_001761,16,899,899,es_20200422165601396142,jax_gene_899
GPR32,NM_001506,19,2854,2854,es_20200422165612926423,jax_gene_2854
CD22,NM_001771,19,933,933,es_20200422165559146042,jax_gene_933
PABPC4,NM_003819,1,8761,8761,es_20200422165606118809,jax_gene_8761
EGFR,NM_005228,7,1956,1956,es_20200422165603778065,jax_gene_1956
SELE,NM_000450,1,6401,6401,es_20200422165610820645,jax_gene_6401
PLEKHA7,NM_175058,11,144100,144100,es_20200422165614396864,jax_gene_144100
CYLD,NM_015247,16,1540,1540,es_20200422165607958152,jax_gene_1540
KDM2B,NM_032590,12,84678,84678,es_20200422165625609300,jax_gene_84678
BAD,NM_032989,11,572,572,es_20200422165621318578,jax_gene_572
ZKSCAN1,NM_003439,7,7586,7586,es_20200422175844088486,jax_gene_7586
CSNK1A1,NM_001892,5,1452,1452,es_20200422165617905481,jax_gene_1452
IGF1R,NM_000875,15,3480,3480,es_20200422165620305387,jax_gene_3480
AQP1,NM_198098,7,358,358,es_20200422165626939384,jax_gene_358
IGF1,NM_001111285,12,3479,3479,es_20200422165629365758,jax_gene_3479
HIF1A,NM_001530,14,3091,3091,es_20200422165653994143,jax_gene_3091
PRKAA1,NM_006251,5,5562,5562,es_20200422165701625166,jax_gene_5562
CD38,NM_001775,4,952,952,es_20200422165709173580,jax_gene_952
PIM3,NM_001001852,22,415116,415116,es_20200422175846249116,jax_gene_415116
CREB1,NM_134442,2,1385,1385,es_20200422165640427280,jax_gene_1385
STRN,NM_003162,2,6801,6801,es_20200422165627429896,jax_gene_6801
MAP3K4,NM_005922,6,4216,4216,es_20200422165629846539,jax_gene_4216
CAMTA1,NM_015215,1,23261,23261,es_20200422165634544546,jax_gene_23261
GOPC,NM_020399,6,57120,57120,es_20200422165632149255,jax_gene_57120
FGR,NM_005248,1,2268,2268,es_20200422165633084413,jax_gene_2268
SLAMF7,NM_021181,1,57823,57823,es_20200422165638170552,jax_gene_57823
MIR548F1,None,10,100302192,100302192,es_20200422165646191942,jax_gene_100302192
RANBP2,NM_006267,2,5903,5903,es_20200422165650813122,jax_gene_5903
ITPKB,NM_002221,1,3707,3707,es_20200422165647108704,jax_gene_3707
CD8A,NM_001145873,2,925,925,es_20200422165648487965,jax_gene_925
PTPRK,NM_001291984,6,5796,5796,es_20200422165644814533,jax_gene_5796
CRTC1,NM_015321,19,23373,23373,es_20200422165658183197,jax_gene_23373
CHD2,NM_001271,15,1106,1106,es_20200422165652633076,jax_gene_1106
YAP1,NM_001130145,11,10413,10413,es_20200422175848951711,jax_gene_10413
HES5,NM_001010926,1,388585,388585,es_20200422165702845572,jax_gene_388585
YY1,NM_003403,14,7528,7528,es_20200422175853222447,jax_gene_7528
CTRC,NM_007272,1,11330,11330,es_20200422165705213891,jax_gene_11330
H3C1,NM_003529,6,8350,8350,es_20200422165659535851,jax_gene_8350
PAX3,NM_181457,2,5077,5077,es_20200422165706281021,jax_gene_5077
IFNGR1,NM_000416,6,3459,3459,es_20200422165704276342,jax_gene_3459
STK32B,NM_018401.2,4,55351,55351,es_20200422175858749709,jax_gene_55351
FGF3,NM_005247,11,2248,2248,es_20200422175855413163,jax_gene_2248
NFIA,NM_001134673,1,4774,4774,es_20200422165718191686,jax_gene_4774
MXD4,NM_006454,4,10608,10608,es_20200422165711329344,jax_gene_10608
HSP90AA1,NM_005348,14,3320,3320,es_20200422165710762662,jax_gene_3320
TRPM2,XM_005261171,21,7226,7226,es_20200422165713266450,jax_gene_7226
HRAS,NM_001130442,11,3265,3265,es_20200422165716012242,jax_gene_3265
CASP7,NM_001227,10,840,840,es_20200422175904736869,jax_gene_840
RAD51C,NM_058216,17,5889,5889,es_20200422175911638595,jax_gene_5889
ID2,NM_002166,2,3398,3398,es_20200422165733145871,jax_gene_3398
SSRP1,NM_003146,11,6749,6749,es_20200422175901094719,jax_gene_6749
ANGPTL4,NM_139314,19,51129,51129,es_20200422165726124077,jax_gene_51129
CCNT2,NM_058241,2,905,905,es_20200422175909284827,jax_gene_905
KDM5C,NM_004187,X,8242,8242,es_20200422175907305714,jax_gene_8242
FLT3,NM_004119,13,2322,2322,es_20200422170117255133,jax_gene_2322
CREB3L2,NM_194071,7,64764,64764,es_20200422165740832254,jax_gene_64764
ZNF217,NM_006526,20,7764,7764,es_20200422165730726278,jax_gene_7764
ERCC5,NM_000123,13,2073,2073,es_20200422165736058879,jax_gene_2073
CCT2,NM_006431,12,10576,10576,es_20200422175913287268,jax_gene_10576
ELF3,NM_004433,1,1999,1999,es_20200422165738465888,jax_gene_1999
CAD,NM_004341,2,790,790,es_20200422165732178783,jax_gene_790
ASAP1,NM_018482,8,50807,50807,es_20200422165737416879,jax_gene_50807
MLLT1,NM_005934,19,4298,4298,es_20200422165742996828,jax_gene_4298
APOBEC1,NM_001644,12,339,339,es_20200422165756111499,jax_gene_339
TNK2,NM_005781,3,10188,10188,es_20200422165805434562,jax_gene_10188
APOBEC3D,NM_152426,22,140564,140564,es_20200422165754197144,jax_gene_140564
PBRM1,NM_018313,3,55193,55193,es_20200422165743680496,jax_gene_55193
